"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2023","0.080816","0.079873","0.081563","0.079871","469.15M","1.18%"
"07/14/2023","0.079872","0.081694","0.082470","0.078896","571.58M","-2.23%"
"07/13/2023","0.081694","0.077862","0.082314","0.073754","584.32M","4.92%"
"07/12/2023","0.077864","0.077349","0.078148","0.077133","272.73M","0.67%"
"07/11/2023","0.077348","0.077542","0.077562","0.076783","281.51M","-0.25%"
"07/10/2023","0.077541","0.077476","0.078036","0.076239","394.20M","0.08%"
"07/09/2023","0.077476","0.080059","0.080443","0.077359","389.11M","-3.22%"
"07/08/2023","0.080058","0.078817","0.080091","0.078696","339.93M","1.57%"
"07/07/2023","0.078817","0.077117","0.079595","0.076819","374.80M","2.19%"
"07/06/2023","0.077125","0.077064","0.078580","0.076941","364.68M","0.08%"
"07/05/2023","0.077062","0.077023","0.077909","0.076631","367.20M","0.05%"
"07/04/2023","0.077023","0.077312","0.080412","0.074995","326.37M","-0.37%"
"07/03/2023","0.077310","0.076011","0.077826","0.075808","318.47M","1.71%"
"07/02/2023","0.076012","0.077256","0.077381","0.075186","327.15M","-1.63%"
"07/01/2023","0.077270","0.076155","0.077698","0.076067","342.28M","1.41%"
"06/30/2023","0.076196","0.074444","0.076824","0.074200","558.61M","2.35%"
"06/29/2023","0.074444","0.073750","0.074797","0.073416","327.75M","0.94%"
"06/28/2023","0.073747","0.074332","0.074508","0.072733","340.75M","-0.79%"
"06/27/2023","0.074332","0.073825","0.075342","0.073760","318.24M","0.69%"
"06/26/2023","0.073825","0.073131","0.074704","0.072352","420.85M","0.95%"
"06/25/2023","0.073130","0.072196","0.073761","0.072067","329.39M","1.31%"
"06/24/2023","0.072187","0.073135","0.073459","0.071479","363.50M","-1.29%"
"06/23/2023","0.073134","0.072275","0.073647","0.071527","411.51M","1.13%"
"06/22/2023","0.072314","0.072333","0.074152","0.071451","479.98M","-0.03%"
"06/21/2023","0.072332","0.070565","0.072663","0.070282","634.88M","2.49%"
"06/20/2023","0.070572","0.069982","0.070629","0.068078","577.95M","0.84%"
"06/19/2023","0.069983","0.070158","0.070372","0.069503","339.13M","-0.25%"
"06/18/2023","0.070158","0.071647","0.072225","0.069692","355.42M","-2.09%"
